SN,ID,Barcode,ProductId,CutedTable,Recipe_Name,Result,OffsetX,OffsetY,RotateAngle,Start_time,Tact_time,OperatorID,Length,Width,ConveyorSpeed,CuttingTime,Message,MachineID,SubBoardCount,End_time,FixtureBarcode
31820,da7561b0-2338-4438-a2c6-6ff440259b08,,160914002C01,RightTable,160914002C01.rcp,True,0.02850294,0.01086551,0.00251351,2026/06/19 13:35:21,105,ME,320.4275,319.6375,0,102,,22SAA0009,4,2026/06/19 13:37:06,
,da7561b0-2338-4438-a2c6-6ff440259b08,,160914002C01,RightTable,160914002C01.rcp,True,0,0,0,2026-06-19 13:35:30,95,ME,141.6558,272.7558,0,95,,22SAA0009,0,2026-06-19 13:37:05,
