SN,ID,Barcode,ProductId,CutedTable,Recipe_Name,Result,OffsetX,OffsetY,RotateAngle,Start_time,Tact_time,OperatorID,Length,Width,ConveyorSpeed,CuttingTime,Message,MachineID,SubBoardCount,End_time,FixtureBarcode
31748,7bb8d3d9-67e3-43fb-8ede-be47cbd5723b,,160914002C01,RightTable,160914002C01.rcp,True,-0.01105927,0.05880513,0.01159766,2026/06/19 09:12:41,104,Admin,320.4275,319.6375,0,102,,22SAA0009,4,2026/06/19 09:14:25,
,7bb8d3d9-67e3-43fb-8ede-be47cbd5723b,,160914002C01,RightTable,160914002C01.rcp,True,0,0,0,2026-06-19 09:12:50,95,Admin,141.695,272.7154,0,95,,22SAA0009,0,2026-06-19 09:14:25,
