SN,ID,Barcode,ProductId,CutedTable,Recipe_Name,Result,OffsetX,OffsetY,RotateAngle,Start_time,Tact_time,OperatorID,Length,Width,ConveyorSpeed,CuttingTime,Message,MachineID,SubBoardCount,End_time,FixtureBarcode
31872,1a0cc02d-9129-4389-b726-6c6537929ae9,,160914002C01,RightTable,160914002C01.rcp,True,-0.03460684,0.03320323,-0.0001639245,2026/06/19 16:41:08,104,ME,320.4275,319.6375,0,101,,22SAA0009,4,2026/06/19 16:42:51,
,1a0cc02d-9129-4389-b726-6c6537929ae9,,160914002C01,RightTable,160914002C01.rcp,True,0,0,0,2026-06-19 16:41:16,95,ME,141.6443,272.6929,0,95,,22SAA0009,0,2026-06-19 16:42:51,
