SN,ID,Barcode,ProductId,CutedTable,Recipe_Name,Result,OffsetX,OffsetY,RotateAngle,Start_time,Tact_time,OperatorID,Length,Width,ConveyorSpeed,CuttingTime,Message,MachineID,SubBoardCount,End_time,FixtureBarcode
31935,19389ab5-7374-416e-a6f2-5bc94979eb34,,160914002C01,RightTable,160914002C01.rcp,True,0.002622779,-0.02896134,-0.003428755,2026/06/20 09:40:11,103,ME,320.4275,319.6375,0,100,,22SAA0009,4,2026/06/20 09:41:54,
,19389ab5-7374-416e-a6f2-5bc94979eb34,,160914002C01,RightTable,160914002C01.rcp,True,0,0,0,2026-06-20 09:40:19,95,ME,141.6302,272.7304,0,95,,22SAA0009,0,2026-06-20 09:41:54,
